Product ID,Contract Date,Call Put Flag,Exercise Price,Version Number,Net LS Balance,Long Balance,Short Balance,Net EA Balance,Assigned/Notified Balance,Exercised/Allocated Balance,Instrument Type,Exercise Style Flag
FEU3,20251215,,,,8500,,,,,,,
FEU3,20260316,,,,-28544,,,,,,,
FEU3,20260615,,,,36640,,,,,,,
FEU3,20260914,,,,-14304,,,,,,,
FEU3,20261214,,,,-4482,,,,,,,
FEU3,20270315,,,,2681,,,,,,,
FEU3,20270614,,,,1455,,,,,,,
FEU3,20270913,,,,-2677,,,,,,,
FEU3,20271213,,,,-2101,,,,,,,
FEU3,20280313,,,,-164,,,,,,,
FEU3,20280619,,,,286,,,,,,,
FEU3,20280918,,,,-36,,,,,,,
FST3,20250917,,,,12048,,,,,,,
FST3,20251217,,,,-16539,,,,,,,
FST3,20260318,,,,39356,,,,,,,
FST3,20260617,,,,-36716,,,,,,,
FST3,20260916,,,,9049,,,,,,,
FST3,20261216,,,,10063,,,,,,,
FST3,20270317,,,,-6112,,,,,,,
FST3,20270616,,,,-2517,,,,,,,
FST3,20270915,,,,2322,,,,,,,
FST3,20271215,,,,3486,,,,,,,
FST3,20280315,,,,-73,,,,,,,
FST3,20280621,,,,9,,,,,,,
